layers,nodes_per_layer,activation_function,learning_rate,batch_size,epochs,jobs,optimizer,composite_reh,composite_ree,composite_rehtilde,composite_dvcs,overall_total
4,"[50,100,150,200]","['relu', 'sigmoid', 'tanh', 'relu']",0.001,100,1000,100,adam,0.3588036738,0.504762884,0.347594104,0.6469683234,0.4645322463
2,"[50,100]","['tanh', 'sigmoid']",0.001,100,1000,100,adam,0.40907373,0.3845935851,0.4283120703,0.6251342464,0.4617784079
3,"[100,100,100]","['tanh', 'sigmoid', 'relu']",0.001,100,1000,100,adam,0.3287163166,0.3892129498,0.4867603319,0.6212407188,0.4564825793
2,"[5,10]","['tanh', 'sigmoid']",0.001,100,1000,100,adam,0.349411601,0.4222137536,0.4345431546,0.6130370998,0.4548014022
4,"[200,200,200,200]","['tanh', 'sigmoid', 'relu', 'tanh']",0.001,100,1000,100,adam,0.3140613145,0.4772182756,0.3959234943,0.6254396201,0.4531606762
6,"[50,100,200,400,800,1600]","['tanh', 'sigmoid', 'tanh', 'relu', 'sigmoid', 'tanh']",0.001,100,1000,100,adam,0.365526779,0.4851211954,0.3143978101,0.6397459589,0.4511979359
6,"[400,400,400,400,400,400]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.365526779,0.4851211954,0.3143978101,0.6397459589,0.4511979359
6,"[500,500,500,500,500,500]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.365526779,0.4851211954,0.3143978101,0.6397459589,0.4511979359
6,"[600,600,600,600,600,600]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.365526779,0.4851211954,0.3143978101,0.6397459589,0.4511979359
6,"[600,500,400,300,200,100]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.365526779,0.4851211954,0.3143978101,0.6397459589,0.4511979359
3,"[600,600,600]","['tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.3318945257,0.3847625537,0.4481893289,0.6244508885,0.4473243242
4,"[300,300,300,300]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,100,adam,0.3040321644,0.3910971075,0.4913751961,0.5857194614,0.4430559823
2,"[300,300]","['tanh', 'sigmoid']",0.001,100,1000,100,adam,0.368509923,0.4031867498,0.3654274619,0.6165244543,0.4384121473
3,"[300,300,300]","['sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,100,adam,0.2464811653,0.4950203661,0.3570083881,0.6375883979,0.4340245793
2,"[200,200]","['tanh', 'sigmoid']",0.001,100,1000,100,adam,0.3726659784,0.3551163331,0.3823401749,0.5973451308,0.4268669043
6,"[50,100,150,200, 250, 300]","['relu', 'sigmoid', 'tanh', 'relu', 'sigmoid', 'tanh']",0.001,100,1000,100,adam,0.2210275923,0.5097421264,0.3503832989,0.6218491071,0.4257505312
5,"[300,300,300,300,300]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,100,adam,0.3075337826,0.3302156349,0.4506574969,0.5995249601,0.4219829686
6,"[5,10,20,40,80,160]","['tanh', 'sigmoid', 'tanh', 'relu', 'sigmoid', 'tanh']",0.001,100,1000,100,adam,0.3190550936,0.3511287592,0.4063943221,0.6107742065,0.4218380953
5,"[50,100,150,200, 250]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid']",0.001,100,1000,100,adam,0.3190394199,0.4425837241,0.2842084048,0.6378536305,0.4209212948
5,"[300,300,300,300,300]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid']",0.001,100,1000,100,adam,0.4146440067,0.2817672779,0.3391203574,0.6306155176,0.4165367899
6,"[300,300,300,300,300,300]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
2,"[300,300]","['sigmoid', 'sigmoid']",0.001,100,1000,100,adam,0.2538021178,0.363504997,0.3905938295,0.6366924692,0.4111483534
5,"[5,10,20,40,80]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid']",0.001,100,1000,100,adam,0.3280377402,0.3400510008,0.3105972256,0.6506970981,0.4073457662
5,"[50,100,200,400,800]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid']",0.001,100,1000,100,adam,0.4301343517,0.3481070823,0.2072371439,0.6273228368,0.4032003536
2,"[50,100]","['relu', 'sigmoid']",0.001,100,1000,100,adam,0.2932500864,0.3828617521,0.333950586,0.5760836031,0.3965365069
4,"[300,300,300,300]","['tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,100,adam,0.2678350752,0.3522445694,0.320426395,0.6218012156,0.3905768138
5,"[300,300,300,300,300]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
4,"[300,300,300,300]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
3,"[300,300,300]","['sigmoid', 'sigmoid', 'sigmoid']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
6,"[300,300,300,300,300,300]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
6,"[300,300,300,300,300,300]","['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",0.001,100,1000,10,adam,0.3492685469,0.3391412587,0.3128355411,0.6588863002,0.4150329117
